age,goals,assists,annual_wage,non_penalty_goals,shot_creating_actions,passes_attempted,pass_completion,progressive_passes,progressive_carries,successful_take_ons,progressive_passes_rec,tackles,interceptions,blocks,clearances,aerials_won,penalty_play,play_time,shots_touches,position_DF,"position_DF,FW",position_FW,"position_FW,MF",position_MF,"position_MF,DF",league_Bundesliga,league_La Liga,league_Ligue 1,league_Premier League,league_Serie A
27.0,0,2,640000.0,0.0,1.8,40.37,0.855,3.3,0.3,0.2,0.5,1.9,1.2,1.15,1.95,1.6,-0.3573753679180987,0.4537642266207945,-0.856286780294554,False,False,False,False,True,False,False,False,False,False,True
25.0,0,0,1200000.0,0.35,2.61,47.43,0.799,3.47,2.43,3.13,4.34,2.08,0.87,0.7,1.22,0.52,-0.3573753679180987,-1.4871357315984737,1.966608701894885,False,False,False,False,True,False,False,False,True,False,False
25.0,5,5,9063481.0,0.08,3.78,66.92,0.863,6.91,1.52,0.68,1.8,3.02,1.18,2.31,0.87,0.93,1.319999010333596,2.150302068407272,-0.44807599361065154,False,False,False,False,True,False,False,False,False,True,False
35.0,2,5,4630000.0,0.14,3.48,35.29,0.732,4.52,1.18,1.18,6.33,0.77,0.21,0.42,0.21,0.84,1.319999010333596,-1.0140712543833772,0.5495402798132037,False,False,True,False,False,False,False,False,False,False,True
24.0,2,8,453174.0,0.03,3.59,52.06,0.667,3.24,2.95,1.02,5.05,1.94,0.95,1.49,1.33,0.73,-0.3573753679180987,2.743155319495604,-0.3291825742064407,True,False,False,False,False,False,False,False,False,True,False
32.0,0,1,580000.0,0.0,2.07,51.24,0.732,3.99,1.49,0.78,3.4,2.33,1.49,0.94,2.4,0.68,-0.3573753679180987,1.872505687765228,-1.0528794095579235,True,False,False,False,False,False,False,True,False,False,False
28.0,1,3,2200000.0,0.06,2.44,49.22,0.76,2.19,4.38,0.69,7.51,1.94,1.19,1.13,1.5,0.44,-0.3573753679180987,-0.4967014486087857,-0.6671504085606131,True,False,False,False,False,False,False,True,False,False,False
31.0,2,5,2410000.0,0.09,2.83,47.88,0.782,6.24,1.11,0.93,2.12,1.55,0.44,1.24,0.53,1.19,-0.3573753679180987,0.9900435295929054,-0.8488629462591064,False,False,False,False,True,False,False,False,False,False,True
23.0,0,1,300000.0,0.0,1.19,55.64,0.831,2.75,1.51,0.83,1.33,2.75,1.88,1.38,2.39,1.33,-0.3573753679180987,0.5503776750424442,-1.5984218471975398,True,False,False,False,False,False,False,False,True,False,False
21.0,0,0,400000.0,0.1261604938271605,2.2377777777777776,44.491006172839505,0.0,3.6607901234567897,1.7304753086419755,0.8134999999999999,3.861845679012346,1.6527283950617284,0.8093209876543209,1.1469012345679013,1.9009814814814816,1.3943333333333332,-0.3573753679180987,-2.590357836478617,-2.761993637190646e-17,False,True,False,False,False,False,False,False,True,False,False
27.0,0,0,120000.0,0.1261604938271605,2.2377777777777776,44.491006172839505,0.0,3.6607901234567897,1.7304753086419755,0.8134999999999999,3.861845679012346,1.6527283950617284,0.8093209876543209,1.1469012345679013,1.9009814814814816,1.3943333333333332,-0.3573753679180987,-2.906031345675325,-2.761993637190646e-17,False,False,False,True,False,False,False,False,True,False,False
21.0,1,1,1742977.0,0.1261604938271605,2.2377777777777776,44.491006172839505,0.0,3.6607901234567897,1.7304753086419755,0.8134999999999999,3.861845679012346,1.6527283950617284,0.8093209876543209,1.1469012345679013,1.9009814814814816,1.3943333333333332,-0.3573753679180987,-2.111029827508254,-2.761993637190646e-17,False,False,False,True,False,False,False,False,False,True,False
26.0,2,1,3800000.0,0.1,2.63,48.42,0.847,5.6,0.5,0.45,0.69,2.43,1.29,1.64,1.98,1.83,-0.3573753679180987,0.148184987932189,-0.675851686693922,False,False,False,False,True,False,True,False,False,False,False
22.0,2,0,6042321.0,0.08,2.44,43.88,0.84,4.89,0.95,0.58,1.82,2.94,1.04,0.99,1.24,2.32,-0.3573753679180987,1.2247738613355943,-0.36730405791332754,False,False,False,False,True,False,False,False,False,True,False
30.0,0,0,604232.0,0.0,1.31,43.69,0.772,3.98,1.67,0.52,0.52,2.62,1.31,1.73,3.14,1.05,-0.3573753679180987,0.381326090445979,-1.8408349247714555,True,False,False,False,False,False,False,False,False,True,False
27.0,0,0,420000.0,0.79,3.15,28.37,0.744,3.94,3.78,2.05,7.88,1.26,0.47,1.1,0.32,0.79,-0.3573753679180987,-1.7775341909102975,2.3168359543689934,False,False,False,True,False,False,False,True,False,False,False
22.0,1,0,906348.0,0.09,0.68,54.29,0.843,2.98,0.6,0.26,0.77,1.02,1.02,1.11,3.24,1.19,-0.3573753679180987,-0.9745152435094968,-1.1056707012494362,True,False,False,False,False,False,False,False,False,True,False
23.0,0,0,1500000.0,0.0,1.42,28.1,0.728,2.49,1.42,0.71,6.23,0.89,0.36,1.25,0.36,2.85,-0.3573753679180987,-1.6092991643145176,1.1963632970101636,False,False,False,True,False,False,True,False,False,False,False
24.0,4,6,1140000.0,0.3,4.61,45.89,0.807,3.27,2.97,0.99,12.29,1.54,0.45,1.24,0.45,2.08,-0.3573753679180987,-0.7412241106772143,3.2063629223244443,False,False,False,True,False,False,True,False,False,False,False
24.0,7,3,1200000.0,0.45,3.62,33.42,0.805,3.8,2.72,1.85,7.9,1.04,0.59,0.8,0.49,0.77,-0.3573753679180987,1.3186169350278298,3.2668207551256354,False,False,False,True,False,False,False,False,True,False,False
26.0,1,2,3100000.0,0.03,4.07,45.17,0.846,6.4,4.01,1.72,5.94,1.21,0.54,1.21,0.18,0.39,-0.3573753679180987,0.8324087555517805,0.432975722408103,False,False,False,True,False,False,False,False,True,False,False
23.0,0,0,410000.0,0.13,2.78,31.14,0.789,2.66,4.18,1.65,9.49,0.89,0.63,1.01,0.76,0.51,-0.3573753679180987,-2.104420468798154,1.6897777171929973,False,False,True,False,False,False,False,False,True,False,False
30.0,3,0,3210000.0,0.08,1.22,78.36,0.903,4.32,0.76,0.35,0.14,1.05,0.84,0.81,3.48,2.81,-0.3573753679180987,1.931348151178236,-0.8421023864583891,True,False,False,False,False,False,False,False,False,False,True
26.0,0,0,600000.0,0.0,0.92,47.59,0.734,3.66,0.46,0.0,0.46,2.14,1.37,1.83,5.49,3.97,-0.3573753679180987,-1.8760598123567545,-0.8639208979102512,True,False,False,False,False,False,True,False,False,False,False
23.0,0,0,911708.0,0.26,4.01,43.71,0.683,3.23,4.53,1.68,6.47,1.55,0.65,2.33,0.65,0.39,-0.3573753679180987,-2.5379518182982936,1.9573247391311712,False,False,False,True,False,False,False,False,False,True,False
24.0,6,1,1300000.0,0.66,1.99,16.88,0.627,1.32,1.1,0.99,4.96,1.54,0.22,0.44,0.88,3.53,-0.3573753679180987,-0.4443141909734595,2.0824775615712743,False,False,True,False,False,False,False,True,False,False,False
22.0,4,1,1560000.0,0.24,3.16,36.25,0.692,2.97,4.17,2.83,11.32,2.11,0.29,1.01,0.34,0.91,-0.3573753679180987,0.427414565325336,2.3640311172593442,False,False,False,True,False,False,False,True,False,False,False
26.0,1,0,900000.0,0.03,2.09,45.54,0.763,5.76,1.68,0.6,1.14,1.77,0.38,1.05,1.43,1.24,-0.3573753679180987,2.52630524931379,-1.3946480909729537,False,False,False,False,True,False,False,True,False,False,False
34.0,0,3,3000000.0,0.0,2.47,66.04,0.849,8.07,0.82,0.41,1.4,3.79,1.4,1.65,1.48,1.15,-0.3573753679180987,-0.5479889686060633,-0.5486932989332647,False,False,False,False,True,False,False,True,False,False,False
27.0,1,0,1000000.0,0.03,1.87,42.9,0.804,3.56,1.98,0.79,3.73,1.87,0.9,0.73,2.07,0.76,-0.3573753679180987,2.532368861818791,-1.0231034838118078,True,False,False,False,False,False,False,True,False,False,False
28.0,0,2,3460000.0,0.05,2.73,60.41,0.875,5.31,1.49,0.9,4.33,1.8,1.08,1.29,0.8,1.49,-0.3573753679180987,2.212735587164304,-0.012758120735918097,False,False,False,False,True,False,False,False,False,False,True
